UserRatingID,CustomerID,DishID,Rating,ReviewText
1,1,17,3,"It was okay, nothing special."
2,1,28,4,"Quite good, I enjoyed it."
3,1,15,5,"Fantastic, highly recommend!"
4,1,5,4,"Quite good, I enjoyed it."
5,1,30,2,"Not great, wouldn't order again."
6,1,45,2,"Not great, wouldn't order again."
7,1,37,3,"It was okay, nothing special."
8,1,29,4,"Quite good, I enjoyed it."
9,1,18,1,"Terrible, not recommended."
10,2,48,4,"Quite good, I enjoyed it."
11,2,46,5,"Fantastic, highly recommend!"
12,2,27,5,"Fantastic, highly recommend!"
13,2,1,3,"It was okay, nothing special."
14,2,22,4,"Quite good, I enjoyed it."
15,2,37,2,"Not great, wouldn't order again."
16,3,20,5,"Fantastic, highly recommend!"
17,3,43,4,"Quite good, I enjoyed it."
18,3,46,5,"Fantastic, highly recommend!"
19,3,12,5,"Fantastic, highly recommend!"
20,3,47,2,"Not great, wouldn't order again."
21,3,24,1,"Terrible, not recommended."
22,3,32,3,"It was okay, nothing special."
23,3,36,5,"Fantastic, highly recommend!"
24,3,30,5,"Fantastic, highly recommend!"
25,3,8,1,"Terrible, not recommended."
26,3,37,2,"Not great, wouldn't order again."
27,4,17,3,"It was okay, nothing special."
28,4,47,2,"Not great, wouldn't order again."
29,4,14,4,"Quite good, I enjoyed it."
30,4,39,2,"Not great, wouldn't order again."
31,4,2,3,"It was okay, nothing special."
32,4,13,5,"Fantastic, highly recommend!"
33,4,36,5,"Fantastic, highly recommend!"
34,4,22,1,"Terrible, not recommended."
35,4,3,2,"Not great, wouldn't order again."
36,5,45,3,"It was okay, nothing special."
37,5,47,5,"Fantastic, highly recommend!"
38,5,20,1,"Terrible, not recommended."
39,5,50,4,"Quite good, I enjoyed it."
40,5,48,5,"Fantastic, highly recommend!"
41,5,42,3,"It was okay, nothing special."
42,5,18,4,"Quite good, I enjoyed it."
43,5,2,1,"Terrible, not recommended."
44,5,9,3,"It was okay, nothing special."
45,6,6,4,"Quite good, I enjoyed it."
46,6,7,3,"It was okay, nothing special."
47,6,5,1,"Terrible, not recommended."
48,6,8,4,"Quite good, I enjoyed it."
49,6,27,2,"Not great, wouldn't order again."
50,6,36,3,"It was okay, nothing special."
51,6,32,3,"It was okay, nothing special."
52,6,4,1,"Terrible, not recommended."
53,7,16,3,"It was okay, nothing special."
54,7,49,3,"It was okay, nothing special."
55,7,8,1,"Terrible, not recommended."
56,7,47,2,"Not great, wouldn't order again."
57,7,6,2,"Not great, wouldn't order again."
58,7,33,2,"Not great, wouldn't order again."
59,7,26,3,"It was okay, nothing special."
60,7,3,2,"Not great, wouldn't order again."
61,7,28,3,"It was okay, nothing special."
62,8,9,3,"It was okay, nothing special."
63,8,12,3,"It was okay, nothing special."
64,8,18,2,"Not great, wouldn't order again."
65,8,17,5,"Fantastic, highly recommend!"
66,8,11,2,"Not great, wouldn't order again."
67,8,47,2,"Not great, wouldn't order again."
68,8,49,4,"Quite good, I enjoyed it."
69,9,45,3,"It was okay, nothing special."
70,9,1,5,"Fantastic, highly recommend!"
71,9,18,3,"It was okay, nothing special."
72,9,22,2,"Not great, wouldn't order again."
73,9,2,5,"Fantastic, highly recommend!"
74,9,41,3,"It was okay, nothing special."
75,9,7,5,"Fantastic, highly recommend!"
76,9,29,1,"Terrible, not recommended."
77,9,9,5,"Fantastic, highly recommend!"
78,9,11,2,"Not great, wouldn't order again."
79,9,5,1,"Terrible, not recommended."
80,9,8,3,"It was okay, nothing special."
81,9,28,3,"It was okay, nothing special."
82,10,12,5,"Fantastic, highly recommend!"
83,10,37,5,"Fantastic, highly recommend!"
84,10,26,1,"Terrible, not recommended."
85,10,8,4,"Quite good, I enjoyed it."
86,10,2,1,"Terrible, not recommended."
87,10,10,1,"Terrible, not recommended."
88,11,18,3,"It was okay, nothing special."
89,11,17,5,"Fantastic, highly recommend!"
90,11,47,4,"Quite good, I enjoyed it."
91,11,42,1,"Terrible, not recommended."
92,11,13,2,"Not great, wouldn't order again."
93,11,32,1,"Terrible, not recommended."
94,11,10,2,"Not great, wouldn't order again."
95,11,38,3,"It was okay, nothing special."
96,11,7,4,"Quite good, I enjoyed it."
97,11,30,4,"Quite good, I enjoyed it."
98,11,15,4,"Quite good, I enjoyed it."
99,11,29,3,"It was okay, nothing special."
100,12,23,2,"Not great, wouldn't order again."
101,12,45,5,"Fantastic, highly recommend!"
102,12,18,2,"Not great, wouldn't order again."
103,12,30,2,"Not great, wouldn't order again."
104,12,6,3,"It was okay, nothing special."
105,12,36,2,"Not great, wouldn't order again."
106,12,41,3,"It was okay, nothing special."
107,12,50,5,"Fantastic, highly recommend!"
108,13,2,4,"Quite good, I enjoyed it."
109,13,11,4,"Quite good, I enjoyed it."
110,13,29,3,"It was okay, nothing special."
111,13,1,5,"Fantastic, highly recommend!"
112,13,30,3,"It was okay, nothing special."
113,13,50,3,"It was okay, nothing special."
114,13,37,1,"Terrible, not recommended."
115,14,46,2,"Not great, wouldn't order again."
116,14,7,2,"Not great, wouldn't order again."
117,14,50,1,"Terrible, not recommended."
118,14,6,1,"Terrible, not recommended."
119,14,28,2,"Not great, wouldn't order again."
120,14,17,3,"It was okay, nothing special."
121,14,3,3,"It was okay, nothing special."
122,14,33,5,"Fantastic, highly recommend!"
123,14,43,5,"Fantastic, highly recommend!"
124,14,25,4,"Quite good, I enjoyed it."
125,14,9,1,"Terrible, not recommended."
126,14,40,1,"Terrible, not recommended."
127,15,6,1,"Terrible, not recommended."
128,15,38,5,"Fantastic, highly recommend!"
129,15,39,4,"Quite good, I enjoyed it."
130,15,8,3,"It was okay, nothing special."
131,15,16,1,"Terrible, not recommended."
132,15,5,1,"Terrible, not recommended."
133,15,28,1,"Terrible, not recommended."
134,15,11,5,"Fantastic, highly recommend!"
135,15,29,3,"It was okay, nothing special."
136,15,2,4,"Quite good, I enjoyed it."
137,15,40,1,"Terrible, not recommended."
138,16,19,3,"It was okay, nothing special."
139,16,38,1,"Terrible, not recommended."
140,16,48,1,"Terrible, not recommended."
141,16,35,4,"Quite good, I enjoyed it."
142,16,23,1,"Terrible, not recommended."
143,16,29,3,"It was okay, nothing special."
144,16,14,1,"Terrible, not recommended."
145,16,49,3,"It was okay, nothing special."
146,16,5,4,"Quite good, I enjoyed it."
147,17,16,1,"Terrible, not recommended."
148,17,21,3,"It was okay, nothing special."
149,17,5,2,"Not great, wouldn't order again."
150,17,17,1,"Terrible, not recommended."
151,17,23,5,"Fantastic, highly recommend!"
152,17,6,1,"Terrible, not recommended."
153,17,37,2,"Not great, wouldn't order again."
154,17,32,5,"Fantastic, highly recommend!"
155,17,48,1,"Terrible, not recommended."
156,17,38,1,"Terrible, not recommended."
157,17,2,1,"Terrible, not recommended."
158,17,14,1,"Terrible, not recommended."
159,17,24,1,"Terrible, not recommended."
160,17,12,3,"It was okay, nothing special."
161,17,49,2,"Not great, wouldn't order again."
162,18,25,4,"Quite good, I enjoyed it."
163,18,48,2,"Not great, wouldn't order again."
164,18,30,1,"Terrible, not recommended."
165,18,24,2,"Not great, wouldn't order again."
166,18,6,1,"Terrible, not recommended."
167,18,8,5,"Fantastic, highly recommend!"
168,19,29,2,"Not great, wouldn't order again."
169,19,7,3,"It was okay, nothing special."
170,19,14,1,"Terrible, not recommended."
171,19,36,1,"Terrible, not recommended."
172,19,50,3,"It was okay, nothing special."
173,19,15,1,"Terrible, not recommended."
174,19,34,1,"Terrible, not recommended."
175,19,28,1,"Terrible, not recommended."
176,19,47,5,"Fantastic, highly recommend!"
177,19,2,2,"Not great, wouldn't order again."
178,20,9,4,"Quite good, I enjoyed it."
179,20,30,2,"Not great, wouldn't order again."
180,20,21,1,"Terrible, not recommended."
181,20,33,3,"It was okay, nothing special."
182,20,25,2,"Not great, wouldn't order again."
183,20,3,1,"Terrible, not recommended."
184,20,45,2,"Not great, wouldn't order again."
185,20,47,5,"Fantastic, highly recommend!"
186,20,14,2,"Not great, wouldn't order again."
187,20,8,5,"Fantastic, highly recommend!"
188,20,10,3,"It was okay, nothing special."
189,21,18,3,"It was okay, nothing special."
190,21,38,5,"Fantastic, highly recommend!"
191,21,46,2,"Not great, wouldn't order again."
192,21,43,1,"Terrible, not recommended."
193,21,42,3,"It was okay, nothing special."
194,21,29,5,"Fantastic, highly recommend!"
195,21,3,3,"It was okay, nothing special."
196,21,2,5,"Fantastic, highly recommend!"
197,21,10,5,"Fantastic, highly recommend!"
198,22,46,1,"Terrible, not recommended."
199,22,36,1,"Terrible, not recommended."
200,22,32,1,"Terrible, not recommended."
201,22,37,2,"Not great, wouldn't order again."
202,22,11,1,"Terrible, not recommended."
203,22,4,4,"Quite good, I enjoyed it."
204,22,14,5,"Fantastic, highly recommend!"
205,22,17,4,"Quite good, I enjoyed it."
206,23,46,1,"Terrible, not recommended."
207,23,48,1,"Terrible, not recommended."
208,23,45,5,"Fantastic, highly recommend!"
209,23,7,4,"Quite good, I enjoyed it."
210,23,29,5,"Fantastic, highly recommend!"
211,23,28,1,"Terrible, not recommended."
212,23,15,2,"Not great, wouldn't order again."
213,23,32,2,"Not great, wouldn't order again."
214,23,47,5,"Fantastic, highly recommend!"
215,23,33,3,"It was okay, nothing special."
216,24,9,3,"It was okay, nothing special."
217,24,32,4,"Quite good, I enjoyed it."
218,24,21,3,"It was okay, nothing special."
219,24,25,4,"Quite good, I enjoyed it."
220,24,5,5,"Fantastic, highly recommend!"
221,24,23,4,"Quite good, I enjoyed it."
222,24,11,4,"Quite good, I enjoyed it."
